tecnologia,repositorio,linguagem,tempo_ms,tamanho_bytes
REST,freeCodeCamp/freeCodeCamp,TypeScript,81703.6,586970
REST,public-apis/public-apis,Python,77313.31,39922
REST,EbookFoundation/free-programming-books,Python,79384.69,159319
REST,openclaw/openclaw,TypeScript,77942.15,339072
REST,nilbuild/developer-roadmap,TypeScript,74439.28,400
REST,donnemartin/system-design-primer,Python,75682.77,292007
REST,vinta/awesome-python,Python,75614.18,48191
REST,react/react,JavaScript,81769.47,348440
REST,affaan-m/ECC,JavaScript,88730.02,9115090
REST,TheAlgorithms/Python,Python,79630.75,1343630
REST,vuejs/vue,TypeScript,80388.2,12792
REST,NousResearch/hermes-agent,Python,77222.1,36396
REST,trekhleb/javascript-algorithms,JavaScript,77201.92,43070
REST,n8n-io/n8n,TypeScript,82820.19,1455686
REST,microsoft/vscode,TypeScript,98601.31,1669855
REST,Significant-Gravitas/AutoGPT,Python,95888.13,13239077
REST,anomalyco/opencode,TypeScript,78300.06,19846
REST,avelino/awesome-go,Go,76107.92,37037
REST,ollama/ollama,Go,80362.12,1403609
REST,yt-dlp/yt-dlp,Python,80531.72,1124253
REST,AUTOMATIC1111/stable-diffusion-webui,Python,76463.04,30965
REST,521xueweihan/HelloGitHub,Python,24283.64,16745
REST,microsoft/markitdown,Python,89040.17,110432
REST,huggingface/transformers,Python,85635.21,1412780
REST,anthropics/skills,Python,84118.68,15838
REST,Snailclimb/JavaGuide,JavaScript,78138.34,51615
REST,langflow-ai/langflow,Python,89533.14,3432764
REST,airbnb/javascript,JavaScript,83990.49,364417
REST,langgenius/dify,TypeScript,80315.49,181407
GraphQL,freeCodeCamp/freeCodeCamp,TypeScript,12433.73,76629
GraphQL,public-apis/public-apis,Python,12124.66,52339
GraphQL,EbookFoundation/free-programming-books,Python,12756.41,60428
GraphQL,openclaw/openclaw,TypeScript,12290.87,66770
GraphQL,nilbuild/developer-roadmap,TypeScript,11768.6,44615
GraphQL,donnemartin/system-design-primer,Python,12136.65,63453
GraphQL,vinta/awesome-python,Python,12322.71,63443
GraphQL,react/react,JavaScript,12658.21,83401
GraphQL,affaan-m/ECC,JavaScript,14934.57,3332002
GraphQL,TheAlgorithms/Python,Python,12141.33,135268
GraphQL,vuejs/vue,TypeScript,12112.07,42856
GraphQL,NousResearch/hermes-agent,Python,12130.76,62803
GraphQL,trekhleb/javascript-algorithms,JavaScript,12218.72,60124
GraphQL,n8n-io/n8n,TypeScript,13148.6,442911
GraphQL,microsoft/vscode,TypeScript,15273.39,449777
GraphQL,Significant-Gravitas/AutoGPT,Python,17448.93,5159459
GraphQL,anomalyco/opencode,TypeScript,11364.45,62520
GraphQL,avelino/awesome-go,Go,11193.23,43201
GraphQL,ollama/ollama,Go,11679.69,73035
GraphQL,yt-dlp/yt-dlp,Python,12689.47,69705
GraphQL,AUTOMATIC1111/stable-diffusion-webui,Python,12115.57,62243
GraphQL,521xueweihan/HelloGitHub,Python,4217.73,16205
GraphQL,microsoft/markitdown,Python,12434.65,55871
GraphQL,huggingface/transformers,Python,12614.32,87861
GraphQL,anthropics/skills,Python,11941.2,53031
GraphQL,Snailclimb/JavaGuide,JavaScript,11366.87,44981
GraphQL,langflow-ai/langflow,Python,13496.88,763821
GraphQL,airbnb/javascript,JavaScript,12402.95,60092
GraphQL,langgenius/dify,TypeScript,11972.36,71628
